budzić się;просыпаться
wstawać;вставать
brać prysznic;принимать душ
myć zęby;чистить зубы
ubierać się;одеваться
rozbierać się;раздеваться
jeść śniadanie;завтракать
pić kawę;пить кофе
iść do pracy;идти на работу
pracować;работать
robić zakupy;делать покупки
wracać;возвращаться
iść do domu;идти домой
oglądać telewizję;смотреть телевизор
czytać książkę;читать книгу
iść na spacer;идти на прогулку
spotykać się z kolegą;встречаться с другом
rozmawiać przez telefon;разговаривать по телефону
spać;спать
